GEOID,year,pct_depression,pct_poor_mh_days
06083,2019,16.2,12.7
06083,2023,21.8,17.5
06085,2019,12.6,10.0
06085,2023,17.9,14.0
06089,2019,20.1,15.3
06089,2023,25.6,20.3
06091,2019,19.8,14.9
06091,2023,26.0,20.4
06093,2019,19.9,15.3
06093,2023,26.2,20.6
06095,2019,15.9,12.4
06095,2023,19.9,17.5
06097,2019,17.0,12.3
06097,2023,23.9,17.2
06099,2019,18.0,14.3
06099,2023,21.0,19.1
06101,2019,17.8,14.3
06101,2023,22.0,18.7
06103,2019,19.5,15.9
06103,2023,25.2,20.4
06105,2019,20.9,16.2
06105,2023,27.7,21.9
06107,2019,17.4,14.9
06107,2023,22.1,18.9
06109,2019,19.5,14.4
06109,2023,25.5,19.2
06111,2019,15.9,11.6
06111,2023,21.1,17.0
06113,2019,17.7,12.9
06113,2023,23.3,17.3
06115,2019,18.4,14.6
06115,2023,23.6,19.5
08007,2019,17.3,12.5
08007,2023,23.1,16.9
08009,2019,20.3,15.6
08009,2023,26.3,20.2
08011,2019,16.2,15.2
08011,2023,22.5,19.2
08013,2019,17.1,11.2
08013,2023,23.5,15.4
08015,2019,17.5,12.8
08015,2023,22.9,16.6
08019,2019,17.6,12.0
08019,2023,22.7,15.6
08021,2019,16.5,14.0
08021,2023,21.7,17.5
08023,2019,16.9,15.1
08023,2023,21.4,17.5
08027,2019,18.4,13.0
08027,2023,24.9,17.9
08033,2019,19.3,14.1
08033,2023,24.2,18.6
08035,2019,15.5,10.1
08035,2023,21.5,14.8
08037,2019,16.2,11.3
08037,2023,20.6,15.2
08041,2019,18.9,13.0
08041,2023,25.3,17.9
08043,2019,17.4,14.1
08043,2023,24.0,18.3
08045,2019,17.7,12.5
08045,2023,21.2,16.7
08047,2019,17.5,11.8
08047,2023,23.1,16.3
08049,2019,17.5,12.9
08049,2023,23.5,16.9
08055,2019,16.8,13.1
08055,2023,22.9,17.8
08057,2019,18.8,14.0
08057,2023,25.0,19.3
08059,2019,16.1,11.4
08059,2023,23.6,15.5
08067,2019,17.6,12.5
08067,2023,22.9,16.9
08069,2019,17.5,12.4
08069,2023,25.0,16.9
08071,2019,17.2,13.5
08071,2023,23.1,18.1
08073,2019,17.1,14.1
08073,2023,22.3,18.2
08075,2019,17.0,13.9
08075,2023,24.3,19.0
08077,2019,19.4,14.1
08077,2023,24.5,17.9
08081,2019,18.5,14.6
08081,2023,24.8,19.0
08083,2019,18.7,14.8
08083,2023,25.2,18.8
08085,2019,17.8,13.9
08085,2023,24.1,17.9
08087,2019,17.2,13.8
08087,2023,22.0,18.1
08093,2019,18.3,13.0
08093,2023,22.7,16.6
08097,2019,16.2,10.6
08097,2023,21.7,14.7
08099,2019,16.8,13.9
08099,2023,23.1,18.7
08101,2019,18.3,14.1
08101,2023,23.4,18.4
08103,2019,19.2,14.2
08103,2023,24.6,18.2
08107,2019,17.6,12.1
08107,2023,22.7,15.9
08113,2019,17.1,11.3
08113,2023,22.6,15.3
08115,2019,19.1,15.2
08115,2023,24.5,18.7
08119,2019,17.8,12.5
08119,2023,23.8,16.8
08123,2019,16.6,12.8
08123,2023,22.0,17.2
08125,2019,17.6,13.9
08125,2023,23.2,18.1
12001,2019,19.5,15.4
12001,2023,19.8,17.8
12005,2019,21.3,17.6
12005,2023,21.5,18.9
12009,2019,20.1,15.5
12009,2023,20.0,17.9
12011,2019,16.5,14.8
12011,2023,16.2,16.8
12015,2019,19.3,16.0
12015,2023,19.0,18.5
12017,2019,22.9,18.2
12017,2023,21.2,19.9
12019,2019,19.5,16.4
12019,2023,19.6,18.7
12021,2019,16.6,13.7
12021,2023,16.9,16.2
12023,2019,22.8,18.3
12023,2023,21.0,19.8
12027,2019,18.1,18.1
12027,2023,19.4,20.5
12029,2019,21.6,19.9
12029,2023,21.3,21.6
12033,2019,20.6,16.6
12033,2023,21.0,18.9
12035,2019,20.7,16.5
12035,2023,20.5,17.8
12037,2019,20.0,18.2
12037,2023,19.6,19.3
12039,2019,19.1,18.5
12039,2023,17.4,20.4
12043,2019,19.7,18.1
12043,2023,18.6,20.1
12045,2019,22.2,18.3
12045,2023,20.4,18.5
12049,2019,18.6,18.3
12049,2023,18.3,19.6
12051,2019,17.1,17.9
12051,2023,16.6,18.7
12053,2019,21.8,16.9
12053,2023,21.3,19.1
12055,2019,18.9,17.3
12055,2023,19.2,19.4
12057,2019,18.5,14.8
12057,2023,16.7,16.8
12061,2019,19.0,15.2
12061,2023,18.8,17.4
12069,2019,18.4,16.0
12069,2023,18.6,17.9
12071,2019,18.1,15.3
12071,2023,18.4,17.1
12073,2019,18.0,15.7
12073,2023,17.9,17.7
12077,2019,21.2,18.6
12077,2023,19.3,20.2
12081,2019,20.5,15.9
12081,2023,19.1,17.6
12083,2019,20.8,17.4
12083,2023,20.7,19.2
12085,2019,18.5,14.6
12085,2023,19.2,17.3
12086,2019,15.8,14.2
12086,2023,14.0,15.2
12091,2019,18.6,15.6
12091,2023,19.5,18.0
12093,2019,20.6,18.3
12093,2023,20.3,20.2
12095,2019,17.9,14.7
12095,2023,16.5,16.3
12097,2019,17.2,15.0
12097,2023,17.3,16.9
