cohort,n,att,se,pvalue
2015,179,-0.022165895628582708,0.04897629136636331,0.6510090915666438
2016,178,-0.00979332092755475,0.04971076470262587,0.843888540090816
2017,99,-0.03612733121533454,0.047788780066535086,0.44999743725059727
2018,82,0.004696831742819887,0.06540893950080393,0.9427833415337756
2019,35,-0.06138846729982166,0.05731321259974749,0.28467665632145067
