cohort,att,se,pvalue,outcome
2015,-0.04723812817546736,0.08781552499020184,0.5906291277054642,overdose
2016,-0.12587549009526927,0.08363952490083043,0.13233020883794178,overdose
2017,0.04607835136482654,0.12517577930744578,0.7127918386958474,overdose
2018,-0.10337226546665887,0.09467749575660994,0.2749053446816216,overdose
2019,-0.20417403269755469,0.1702649748324986,0.23046782557729414,overdose
