term,estimate,se,t value,Pr(>|t|),conf_low,conf_high,l,pvalue
et_neg4,-0.06465258098856484,0.04077271876753869,-1.5856823617079507,0.1131195201814219,-0.1446600235970687,0.015354861619939014,-4,
et_neg3,0.01930067652207913,0.03839050170994064,0.5027461393421048,0.6152506597414997,-0.056032192001644346,0.09463354504580261,-3,
et_neg2,0.004570311620137278,0.0349992093113474,0.1305832820244741,0.8961305665420973,-0.06410789564599248,0.07324851888626704,-2,
et_neg1,0.0,0.0,,,0.0,0.0,-1,1.0
et_0,-0.0003302610039567059,0.04162283159071974,-0.007934611638251472,0.9936707047858251,-0.08200586200285864,0.08134533999494523,0,
et_1,-0.040127529285905475,0.04601017290027843,-0.8721447183621134,0.38333347790631844,-0.13041231722742308,0.05015725865561213,1,
et_2,-0.021626704108519145,0.05687749351604255,-0.3802330723736839,0.7038511111787575,-0.13323620516105417,0.08998279694401588,2,
et_3,-0.07504930895820454,0.06512543492253146,-1.1523809253247645,0.24943300349476716,-0.20284357076903714,0.05274495285262808,3,
et_4,0.06573818468846793,0.07549811888619526,0.870726127462337,0.38410738741782646,-0.08241017520570615,0.213886544582642,4,
