subgroup,n,outcome,att,se,pvalue
Surprise-fire (WHP Q2-Q3),51,suicide,0.5974109199375425,0.3717798702112201,0.10868693365893031
Surprise-fire (WHP Q2-Q3),51,overdose,-0.009420314054705602,0.056327436973954634,0.8672448940610704
Chronic (WHP Q4-Q5),508,suicide,-0.04296335909402722,0.07078842656675303,0.5440411130421738
Chronic (WHP Q4-Q5),508,overdose,-0.012271211556138547,0.036834419124915696,0.7390962718002889
