l,estimate,se,conf_low,conf_high,pvalue,estimator,outcome
-4,-0.06465258098856197,0.040772718767532745,-0.14466002359705415,0.015354861619930216,0.11311952018138542,TWFE,overdose
-3,0.019300676522078324,0.0383905017099347,-0.05603219200163349,0.09463354504579015,0.6152506597414598,TWFE,overdose
-2,0.004570311620135656,0.03499920931134207,-0.06410789564598363,0.07324851888625494,0.8961305665421184,TWFE,overdose
-1,0,0,0,0,1,TWFE,overdose
0,-3.302610039591265e-4,0.041622831590715,-0.08200586200285175,0.0813453399949335,0.993670704785778,TWFE,overdose
1,-0.04012752928590982,0.04601017290028003,-0.13041231722743057,0.05015725865561092,0.3833334779062836,TWFE,overdose
2,-0.02162670410852562,0.05687749351604735,-0.13323620516107007,0.08998279694401884,0.7038511111786969,TWFE,overdose
3,-0.0750493089582127,0.06512543492253663,-0.20284357076905546,0.05274495285263005,0.2494330034947532,TWFE,overdose
4,0.06573818468845136,0.07549811888619072,-0.08241017520571381,0.21388654458261652,0.3841073874179175,TWFE,overdose
