threshold,tag,outcome,n_treated,n_control,att,se,pvalue
"Moderate+ (>=1,000 ac)",T1_moderate_1k,suicide,559,468,-0.04875936473089157,0.12016733365099569,0.6849173164106992
"Moderate+ (>=1,000 ac)",T1_moderate_1k,overdose,559,468,-0.06844466000423219,0.054395134108910996,0.20828818101817062
"Large+ (>=5,000 ac)",T2_large_5k,suicide,322,705,-0.11971873313320008,0.12631750784037413,0.3432514389004025
"Large+ (>=5,000 ac)",T2_large_5k,overdose,322,705,-0.09364303312928017,0.060143003692541365,0.11946899961208253
"Very Large (>=25,000 ac)",T3_verylarge_25k,suicide,131,896,0.023508707376217054,0.1501950404950925,0.8756222131279867
"Very Large (>=25,000 ac)",T3_verylarge_25k,overdose,131,896,-0.03276254100413266,0.07512245871892434,0.6627483699852795
