l,estimate,se,conf_low,conf_high,pvalue,estimator,outcome
-4,0.012324669442489876,0.0986557805420881,-0.18126547951766367,0.20591481840264345,0.9006066273763412,TWFE,suicide
-3,0.021812175242090715,0.08414221647360251,-0.14329831429494164,0.1869226647791231,0.7955098926115508,TWFE,suicide
-2,-0.03339510493571703,0.07846314279090973,-0.18736166844887936,0.12057145857744532,0.6704775344398773,TWFE,suicide
-1,0,0,0,0,1,TWFE,suicide
0,-0.10311491957284465,0.0794694414015472,-0.2590561215396412,0.052826282393951915,0.19473649893471925,TWFE,suicide
1,0.15743349896276512,0.11819704385439853,-0.07450205717690872,0.38936905510243897,0.18316978554132574,TWFE,suicide
2,-0.016630866410690722,0.11923077809995752,-0.25059489736941076,0.21733316454802934,0.8890945393092553,TWFE,suicide
3,-0.015725725140542494,0.15245719000243468,-0.31488924055185225,0.28343779027076726,0.9178652976510822,TWFE,suicide
4,-0.21356779478919535,0.19678153995881684,-0.5997080434792744,0.17257245390088372,0.27804196703938944,TWFE,suicide
