cohort,att,se,pvalue,outcome
2015,-0.04218492122810426,0.22540662454822222,0.8515427778113686,suicide
2016,0.010861461673418596,0.16080260368460295,0.9461475924024545,suicide
2017,-0.05728185770558235,0.16156991877062005,0.7229395253327282,suicide
2018,-0.39336060153308994,0.3295065311182986,0.23256131209493958,suicide
2019,0.2729712254006116,0.6031460927141254,0.6508519591590523,suicide
