threshold,outcome,F_stat,p_pretrend
T1_moderate_1k,ihs_suicide_rate,0.5292256196699616,0.6623379281289374
T1_moderate_1k,ihs_overdose_rate,0.5066923985756072,0.6777735924659949
T2_large_5k,ihs_suicide_rate,2.093430602277208,0.10018899785858247
T2_large_5k,ihs_overdose_rate,2.3282731145006013,0.0737372595101902
T3_verylarge_25k,ihs_suicide_rate,0.8500657216938742,0.46785650107661303
T3_verylarge_25k,ihs_overdose_rate,0.5395022684895915,0.6557066932075069
