threshold,label,n,beta,se,pvalue,stars
T1_moderate_1k,"T1 ≥1,000 ac",90,2.7579104734657336,0.9438109944498381,0.004465393987227786,**
T2_large_5k,"T2 ≥5,000 ac",64,0.5456312183436305,0.7837857426374798,0.48911627562826576,
T3_verylarge_25k,"T3 ≥25,000 ac",30,1.3498504704178504,1.1475323168364926,0.2510084301535322,
