threshold,label,outcome,att,se,pvalue,ci_lo,ci_hi,stars
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,0.1954245201510833,0.1998994001372289,0.33091498762417015,-0.19637830411788532,0.587227344420052,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,0.21335494877599817,0.20068905334573678,0.29060722012982804,-0.1799955957816459,0.6067054933336422,
T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,0.06654511944486734,0.14762964191922362,0.6537121634841283,-0.22280897871681093,0.35589921760654564,
T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,0.09998619478077318,0.16183430725121561,0.5389140166829829,-0.2172090474316094,0.4171814369931558,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,-0.05550359508260392,0.18488552606287634,0.7661621544760602,-0.41787922616584156,0.3068720360006337,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,0.006678987102234013,0.20758389944757652,0.974553016164586,-0.40018545581501597,0.413543430019484,
