threshold,label,outcome,att,se,pvalue,ci_lo,ci_hi,stars
T1_moderate_1k,"T1 ≥1,000 ac",ihs_suicide_rate,0.13055403398508336,0.18084889851246222,0.47225104771277227,-0.2239098070993426,0.48501787506950933,
T1_moderate_1k,"T1 ≥1,000 ac",ihs_overdose_rate,0.20470934977522712,0.17685896301440934,0.25017641685983644,-0.1419342177330152,0.5513529172834695,
T2_large_5k,"T2 ≥5,000 ac",ihs_suicide_rate,0.11301793626179485,0.1593466755070021,0.48078093412820855,-0.19930154773192926,0.42533742025551896,
T2_large_5k,"T2 ≥5,000 ac",ihs_overdose_rate,0.1219412488546795,0.1657295842048181,0.46459257741181437,-0.20288873618676395,0.44677123389612294,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_suicide_rate,-0.10163075450814231,0.22221571673496363,0.6508261732382445,-0.5371735593086711,0.3339120502923864,
T3_verylarge_25k,"T3 ≥25,000 ac",ihs_overdose_rate,-0.06539241770257748,0.2285462344107165,0.7768176780313398,-0.5133430371475818,0.3825582017424269,
