threshold,label,n,beta_did,se_did,pvalue
T1_moderate_1k,T1 (≥1k ac),204,1.7853713321628177,0.9177336749392342,0.053141073022789455
T2_large_5k,T2 (≥5k ac),189,0.24422631495610614,0.5255326687802058,0.6426833753230735
T3_verylarge_25k,T3 (≥25k ac),124,0.6245618290305494,0.5692360661616462,0.27479101214678797
