threshold,outcome,beta_dose,se_dose,pvalue
T1_moderate_1k,ihs_suicide_rate,0.04482590860355452,0.040048124247513625,0.26301171650318356
T1_moderate_1k,ihs_overdose_rate,0.05570660656828708,0.03633680516562119,0.12526036672350102
T2_large_5k,ihs_suicide_rate,0.04387954548977237,0.05198421440902214,0.39861707360375165
T2_large_5k,ihs_overdose_rate,0.07432779627987954,0.043473313630506924,0.08731509856813555
T3_verylarge_25k,ihs_suicide_rate,-0.13957219299805107,0.07487418256314628,0.06230910782232364
T3_verylarge_25k,ihs_overdose_rate,-0.08571889144558985,0.06239778647980801,0.1695196455921279
